Code,Intitulé,Gouvernance,Domaine,Institutions,Registres,Systèmes source,Dépendances techniques
PINS-METIER-551,"Cycle Liquidation → Recouvrement → Mainlevée (BAE)",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(CONSOMMATEUR), DGD(FOURNISSEUR), DGID(CONSOMMATEUR)","ASTER(ALIMENTE), GAINDE(CONSOMME), SENTAX(ALIMENTE)","GAINDE-INTEGRAL, SIGTAS","PINS-TECH-0015, PINS-TECH-0302"
PINS-METIER-552,"Notification des encaissements et quittances Trésor → DGID",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(FOURNISSEUR), DGID(CONSOMMATEUR)","ASTER(CONSOMME), SENTAX(ALIMENTE)","SIGTAS","PINS-TECH-0009, PINS-TECH-0012, PINS-TECH-0014, PINS-TECH-0111, PINS-TECH-0112"
PINS-METIER-609,"Vérification du NIN",PRIORISE,IDENTITE_NUMERIQUE,"DAF(FOURNISSEUR), DGID(CONSOMMATEUR)","REG-NIN(CONSOMME)","","PINS-TECH-5043"
PINS-METIER-610,"Preuve de vie",PRIORISE,IDENTITE_NUMERIQUE,"CSS(CONSOMMATEUR), DAF(FOURNISSEUR), DGCPT(CONSOMMATEUR), IPRES(CONSOMMATEUR)","RNEC(CONSOMME)","","PINS-TECH-0055, PINS-TECH-5043, PINS-TECH-5047"
PINS-METIER-613,"Vérification et récupération des informations d'une entreprise via le NINEA",PRIORISE,CLIMAT_AFFAIRES,"ANSD(FOURNISSEUR), DGD(CONSOMMATEUR), DGID(CONSOMMATEUR)","NINEA(CONSOMME)","NINEA-WEB","PINS-TECH-5001"
PINS-METIER-615,"Suivi de la TVA suspendue",PRIORISE,CLIMAT_AFFAIRES,"APIX(CONSOMMATEUR), DGD(CONSOMMATEUR), DGID(FOURNISSEUR)","NINEA(CONSOMME), SENTAX(CONSOMME)","NINEA-WEB, SIGTAS","PINS-TECH-0005, PINS-TECH-0032, PINS-TECH-0060, PINS-TECH-5001"
PINS-TECH-0002,"Consultation des declarations douanieres via Douanes.GetDeclarations",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(CONSOMMATEUR), DGD(FOURNISSEUR), DGID(CONSOMMATEUR)","GAINDE(CONSOMME), NINEA(CONSOMME), NOMENCLATURE-FISCALE(CONSOMME)","GAINDE-INTEGRAL, NINEA-WEB",""
PINS-TECH-0004,"Consultation NINEA pour controles inter-administrations",PRIORISE,FINANCES_PUBLIQUES,"ANSD(INITIATEUR), ANSD(FOURNISSEUR), APIX(CONSOMMATEUR), ARCOP(CONSOMMATEUR), CSS(CONSOMMATEUR), DGCPT(CONSOMMATEUR), DGD(CONSOMMATEUR), DGID(CONSOMMATEUR), IPRES(CONSOMMATEUR)","NINEA(CONSOMME)","NINEA-WEB",""
PINS-TECH-0014,"Transmission des quittances du Tresor vers la DGID",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(INITIATEUR), DGCPT(FOURNISSEUR), DGID(CONSOMMATEUR)","ASTER(CONSOMME), NOMENCLATURE-FISCALE(CONSOMME), SENTAX(ALIMENTE)","SIGTAS",""
PINS-TECH-0015,"Transmission de l etat des recouvrements du Tresor vers les Douanes",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(INITIATEUR), DGCPT(FOURNISSEUR), DGD(CONSOMMATEUR)","ASTER(CONSOMME), GAINDE(ALIMENTE)","GAINDE-INTEGRAL",""
PINS-TECH-0051,"Réconciliation recettes douanières-trésor",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(CONSOMMATEUR), DGCPT(PARTIE_PRENANTE), DGD(FOURNISSEUR), DGID(INITIATEUR), DGID(CONSOMMATEUR)","ASTER(CONSOMME), GAINDE(CONSOMME), NINEA(CONSOMME)","GAINDE-INTEGRAL, NINEA-WEB",""
PINS-TECH-0056,"Notification de paiement / encaissement DGCPT",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(FOURNISSEUR), DGD(CONSOMMATEUR), DGID(CONSOMMATEUR)","ASTER(CONSOMME), SENTAX(ALIMENTE)","SIGTAS",""
PINS-TECH-2001,"Douanes.GetDeclarationsDouanieres",PRIORISE,FINANCES_PUBLIQUES,"DGD(FOURNISSEUR)","GAINDE(CONSOMME)","GAINDE-INTEGRAL",""
PINS-TECH-2002,"Impots.GetDeclarationsFiscales",PRIORISE,FINANCES_PUBLIQUES,"DGID(FOURNISSEUR)","SENTAX(CONSOMME)","SIGTAS",""
PINS-TECH-2003,"Impots.GetContribuablesCGE",PRIORISE,FINANCES_PUBLIQUES,"DGID(FOURNISSEUR)","SENTAX(CONSOMME)","SIGTAS",""
PINS-TECH-2004,"Douanes.GetContribuablesActifs",PRIORISE,FINANCES_PUBLIQUES,"DGD(FOURNISSEUR)","GAINDE(CONSOMME)","GAINDE-INTEGRAL",""
PINS-TECH-2005,"Douanes.PushDeclarationLiquidee",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(CONSOMMATEUR), DGD(FOURNISSEUR), DGID(CONSOMMATEUR)","ASTER(ALIMENTE), GAINDE(CONSOMME)","GAINDE-INTEGRAL",""
PINS-TECH-2006,"Tresor.ValiderPaiement",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(FOURNISSEUR), DGD(CONSOMMATEUR)","ASTER(CONSOMME), GAINDE(ALIMENTE)","GAINDE-INTEGRAL",""
PINS-TECH-2007,"Tresor.PushQuittance",PRIORISE,FINANCES_PUBLIQUES,"DGCPT(FOURNISSEUR), DGID(CONSOMMATEUR)","ASTER(CONSOMME), SENTAX(ALIMENTE)","SIGTAS",""
PINS-TECH-2008a,"Impots.GetAttestationImposition",PRIORISE,FINANCES_PUBLIQUES,"DGID(FOURNISSEUR)","SENTAX(CONSOMME)","SIGTAS",""
PINS-TECH-2008b,"Impots.GetConformiteFiscale",PRIORISE,FINANCES_PUBLIQUES,"DGID(FOURNISSEUR)","SENTAX(CONSOMME)","SIGTAS",""
PINS-TECH-2008c,"Impots.GetSituationFiscaleDetaillee",PRIORISE,FINANCES_PUBLIQUES,"DGID(FOURNISSEUR)","SENTAX(CONSOMME)","SIGTAS",""
